https://www.avito.ru/sankt_peterburg_i_lo/noutbuki?p=1
UltraBook Dell 7548 i5-5200U/R7M270X,Частник,4 мая 21:29,/sankt-peterburg/noutbuki/ultrabook_dell_7548_i5-5200ur7m270x_1891534930,20 000  ₽
Ноутбук HP8510w,Частник,4 мая 20:51,/sankt-peterburg/noutbuki/noutbuk_hp8510w_1914483682,1 500  ₽
Ультрабук / Lenovo x250 Thinkpad / Core i5 / 8 GB,Частник,4 мая 23:13,/sankt-peterburg/noutbuki/ultrabuk_lenovo_x250_thinkpad_core_i5_8_gb_1939911004?slocation=107621,24 000  ₽
Acer Aspire 7551G,Компания,4 мая 20:47,/sankt-peterburg_lomonosov/noutbuki/acer_aspire_7551g_1864917553,2 800  ₽
Asus,Частник,4 мая 21:40,/sankt-peterburg/noutbuki/asus_1892392956?slocation=107621,9 200  ₽
Ноутбук на запчасти,Компания,4 мая 22:16,/sankt-peterburg/noutbuki/noutbuk_na_zapchasti_1877907849?slocation=107621,1 000  ₽
HP Probook 4525s в разборе / на запчасти / дербан,Частник,4 мая 23:15,/sankt-peterburg/noutbuki/hp_probook_4525s_v_razbore_na_zapchasti_derban_1862563115?slocation=107621,300  ₽
Нетбук Asus Eee PC 1025 фиолетовый на запчасти,Частник,4 мая 22:47,/sankt-peterburg/noutbuki/netbuk_asus_eee_pc_1025_fioletovyy_na_zapchasti_1822293909,1 800  ₽
Ноутбук,Нева-Комп Главный Компьютерный Магазин №1 в СПБ,5 мая 00:00,/sankt-peterburg/noutbuki/noutbuk_1894115494,9 700  ₽
Acer aspire 7750G 17 дюймов core i7,Частник,4 мая 20:57,/sankt-peterburg/noutbuki/acer_aspire_7750g_17_dyuymov_core_i7_1920086730,16 000  ₽
Dell 5521,Частник,4 мая 21:23,/sankt-peterburg/noutbuki/dell_5521_1909567497?slocation=107621,40 000  ₽
Новый Ноутбук acer Aspire,Частник,4 мая 23:53,/sankt-peterburg/noutbuki/novyy_noutbuk_acer_aspire_1939697364?slocation=107621,19 100  ₽
SAMSUNG R540 i5,Частник,4 мая 20:28,/sankt-peterburg/noutbuki/samsung_r540_i5_1942750942?slocation=107621,6 000  ₽
Ноутбук / Fujitsu E751 / Сore i5 / 4 GB,Частник,4 мая 23:34,/sankt-peterburg/noutbuki/noutbuk_fujitsu_e751_sore_i5_4_gb_1939083263?slocation=107621,15 000  ₽
